image_path,subject_id,behavior,condition,lighting,timestamp,face_detected,ear,mar,jaw_ratio,yaw,pitch,roll,brightness
S01/glasses/attentive/S01_attentive_glasses_000000.jpg,S01,attentive,glasses,glasses,,1,0.29583,0.45173,0.43839,-27.946,-178.668,-177.181,131.43
S01/glasses/attentive/S01_attentive_glasses_000001.jpg,S01,attentive,glasses,glasses,,1,0.33204,0.45207,0.43361,-27.479,-176.794,-177.661,131.64
S01/glasses/attentive/S01_attentive_glasses_000002.jpg,S01,attentive,glasses,glasses,,1,0.31737,0.45346,0.4478,-27.487,-177.07,-178.048,132.53
S01/glasses/attentive/S01_attentive_glasses_000003.jpg,S01,attentive,glasses,glasses,,1,0.32287,0.45217,0.44831,-28.338,-177.092,-177.648,132.84
S01/glasses/attentive/S01_attentive_glasses_000004.jpg,S01,attentive,glasses,glasses,,1,0.31998,0.4512,0.44639,-27.146,-178.448,-177.007,132.96
S01/glasses/attentive/S01_attentive_glasses_000005.jpg,S01,attentive,glasses,glasses,,1,0.30549,0.45537,0.44973,-28.01,-177.794,-177.25,133.55
S01/glasses/attentive/S01_attentive_glasses_000006.jpg,S01,attentive,glasses,glasses,,1,0.321,0.45414,0.44008,-30.297,-177.307,-176.853,134.36
S01/glasses/attentive/S01_attentive_glasses_000007.jpg,S01,attentive,glasses,glasses,,1,0.31769,0.45227,0.44795,-27.04,-176.235,-177.15,135.2
S01/glasses/attentive/S01_attentive_glasses_000008.jpg,S01,attentive,glasses,glasses,,1,0.29313,0.45249,0.48393,-27.932,-178.305,-177.183,135.76
S01/glasses/attentive/S01_attentive_glasses_000009.jpg,S01,attentive,glasses,glasses,,1,0.29137,0.45288,0.4923,-27.064,-175.822,-178.558,135.64
S01/glasses/attentive/S01_attentive_glasses_000010.jpg,S01,attentive,glasses,glasses,,1,0.31567,0.45002,0.48235,-27.7,-179.489,-176.455,135.97
S01/glasses/attentive/S01_attentive_glasses_000011.jpg,S01,attentive,glasses,glasses,,1,0.30126,0.45425,0.47547,-28.805,-179.559,-175.648,135.58
S01/glasses/attentive/S01_attentive_glasses_000012.jpg,S01,attentive,glasses,glasses,,1,0.3005,0.45163,0.47778,-28.426,-179.604,-175.333,135.08
S01/glasses/attentive/S01_attentive_glasses_000013.jpg,S01,attentive,glasses,glasses,,1,0.30584,0.45132,0.47373,-28.703,-179.458,-175.211,135.27
S01/glasses/attentive/S01_attentive_glasses_000014.jpg,S01,attentive,glasses,glasses,,1,0.30183,0.45342,0.47202,-28.962,179.489,-175.343,134.76
S01/glasses/attentive/S01_attentive_glasses_000015.jpg,S01,attentive,glasses,glasses,,1,0.31752,0.45231,0.46871,-29.616,179.455,-175.132,134.62
S01/glasses/attentive/S01_attentive_glasses_000016.jpg,S01,attentive,glasses,glasses,,1,0.31923,0.45126,0.483,-29.405,179.519,-175.129,134.73
S01/glasses/attentive/S01_attentive_glasses_000017.jpg,S01,attentive,glasses,glasses,,1,0.30435,0.4556,0.47152,-28.497,178.95,-175.321,134.29
S01/glasses/attentive/S01_attentive_glasses_000018.jpg,S01,attentive,glasses,glasses,,1,0.31623,0.45253,0.46564,-30.089,178.922,-175.35,134.37
S01/glasses/attentive/S01_attentive_glasses_000019.jpg,S01,attentive,glasses,glasses,,1,0.31625,0.45518,0.46319,-29.22,179.204,-175.071,134.29
S01/glasses/attentive/S01_attentive_glasses_000020.jpg,S01,attentive,glasses,glasses,,1,0.31277,0.45528,0.47869,-28.897,179.347,-175.112,134.3
S01/glasses/attentive/S01_attentive_glasses_000021.jpg,S01,attentive,glasses,glasses,,1,0.31509,0.45372,0.47986,-28.695,179.294,-174.536,134.21
S01/glasses/attentive/S01_attentive_glasses_000022.jpg,S01,attentive,glasses,glasses,,1,0.30249,0.45373,0.47464,-28.959,-179.689,-174.628,134.37
S01/glasses/attentive/S01_attentive_glasses_000023.jpg,S01,attentive,glasses,glasses,,1,0.30506,0.4544,0.47312,-29.275,179.842,-174.991,134.26
S01/glasses/attentive/S01_attentive_glasses_000024.jpg,S01,attentive,glasses,glasses,,1,0.32521,0.45491,0.47921,-28.304,179.861,-174.743,134.31
S01/glasses/attentive/S01_attentive_glasses_000025.jpg,S01,attentive,glasses,glasses,,1,0.31211,0.45149,0.47513,-28.778,-179.331,-175.437,134.36
S01/glasses/attentive/S01_attentive_glasses_000026.jpg,S01,attentive,glasses,glasses,,1,0.30058,0.45354,0.47678,-29.062,-179.438,-174.775,134.35
S01/glasses/attentive/S01_attentive_glasses_000027.jpg,S01,attentive,glasses,glasses,,1,0.32208,0.45476,0.46806,-29.33,-179.861,-175.06,134.39
S01/glasses/attentive/S01_attentive_glasses_000028.jpg,S01,attentive,glasses,glasses,,1,0.32133,0.45391,0.47514,-29.008,-179.742,-175.02,134.43
S01/glasses/attentive/S01_attentive_glasses_000029.jpg,S01,attentive,glasses,glasses,,1,0.32117,0.45373,0.46904,-28.442,179.831,-174.948,134.47
S01/glasses/attentive/S01_attentive_glasses_000030.jpg,S01,attentive,glasses,glasses,,1,0.31456,0.45227,0.48111,-27.348,-178.474,-175.033,134.59
S01/glasses/attentive/S01_attentive_glasses_000031.jpg,S01,attentive,glasses,glasses,,1,0.31668,0.45177,0.47776,-27.709,-179.458,-175.142,134.62
S01/glasses/attentive/S01_attentive_glasses_000032.jpg,S01,attentive,glasses,glasses,,1,0.30669,0.45051,0.46639,-28.19,-178.373,-175.826,134.75
S01/glasses/attentive/S01_attentive_glasses_000033.jpg,S01,attentive,glasses,glasses,,1,0.32222,0.45303,0.46814,-29.179,-177.563,-175.875,134.7
S01/glasses/attentive/S01_attentive_glasses_000034.jpg,S01,attentive,glasses,glasses,,1,0.30524,0.45385,0.46547,-28.19,-178.572,-175.695,134.78
S01/glasses/attentive/S01_attentive_glasses_000035.jpg,S01,attentive,glasses,glasses,,1,0.33169,0.45216,0.47218,-26.886,-179.146,-175.512,134.68
S01/glasses/attentive/S01_attentive_glasses_000036.jpg,S01,attentive,glasses,glasses,,1,0.29732,0.45653,0.47009,-28.224,-179.929,-175.286,134.67
S01/glasses/attentive/S01_attentive_glasses_000037.jpg,S01,attentive,glasses,glasses,,1,0.30823,0.45448,0.46923,-28.405,-179.017,-174.954,134.64
S01/glasses/attentive/S01_attentive_glasses_000038.jpg,S01,attentive,glasses,glasses,,1,0.31328,0.44987,0.46467,-27.421,-178.488,-175.066,134.52
S01/glasses/attentive/S01_attentive_glasses_000039.jpg,S01,attentive,glasses,glasses,,1,0.31812,0.45449,0.47499,-27.54,-179.503,-175.333,134.46
S01/glasses/attentive/S01_attentive_glasses_000040.jpg,S01,attentive,glasses,glasses,,1,0.31736,0.45183,0.4734,-28.141,-179.148,-175.362,134.44
S01/glasses/attentive/S01_attentive_glasses_000041.jpg,S01,attentive,glasses,glasses,,1,0.31055,0.45241,0.47973,-27.651,-179.466,-174.966,134.45
